"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::SaferpayCw Aliases","SaferpayCw Alias"
"Customweb_SaferpayCw::SaferpayCw authorization responded with : !result '!authmessage'","SaferpayCw machtiging reageerde met: !result '!authmessage'"
"Customweb_SaferpayCw::SaferpayCw response verification failed. Manipulation possible. Reason: !message","SaferpayCw reactie verificatie mislukt. Manipulatie mogelijk. Reden: !message"
"Customweb_SaferpayCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_SaferpayCw::Saferpay API password","Saferpay API wachtwoord"
"Customweb_SaferpayCw::Saferpay Aliases","Saferpay Aliases"
"Customweb_SaferpayCw::Saferpay Error","Fout met Saferpay"
"Customweb_SaferpayCw::Saferpay MoTo API password","Saferpay MoTo API password"
"Customweb_SaferpayCw::Saferpay MoTo account ID","Saferpay MoTo account ID"
"Customweb_SaferpayCw::Saferpay Parameters","Saferpay Parameters"
"Customweb_SaferpayCw::Saferpay Refund Items","Saferpay Refund Items"
"Customweb_SaferpayCw::Saferpay Section","Saferpay Section"
"Customweb_SaferpayCw::Saferpay Transactions","Saferpay Transactions"
"Customweb_SaferpayCw::Saferpay account ID","Saferpay account ID"
"Customweb_SaferpayCw::Saferpay will send an email to this address, whenever a payment is succesfully authorized. (Available only for payments where the customer is redirected to Saferpay.)","Saferpay stuurt een e-mail naar dit adres, zodra een betaling succesvol is geautoriseerd. (Alleen beschikbaar voor betalingen waarbij de klant wordt doorgestuurd naar Saferpay.)"
"Customweb_SaferpayCw::Saferpay:","Saferpay:"
"Customweb_SaferpayCw::Saferpay: Alias Management","Saferpay: Alias Management"
"Customweb_SaferpayCw::customweb ltd","customweb ltd"
"Customweb_SaferpayCw::no","no"
"Customweb_SaferpayCw::or","or"
"Customweb_SaferpayCw::yes","yes"
